Mv,Hc,Skew,Jdp,File
0.842,4.98944,0.0,0.65,17.0
0.554,4.97738,0.0,0.65,18.0
0.86,4.98598,0.0,0.65,19.0
0.878,4.98376,0.0,0.65,20.0
0.896,4.98717,0.0,0.65,21.0
0.91,4.98615,0.0,0.65,22.0
0.998,5.42416,0.0,0.65,23.0
0.924,4.98742,0.0,0.65,24.0
0.94,4.99459,0.0,0.65,25.0
0.954,4.98855,0.0,0.65,26.0
0.966,4.99751,0.0,0.65,27.0
0.974,4.99981,0.0,0.65,28.0
0.98,5.01298,0.0,0.65,29.0
0.566,4.98617,0.0,0.65,30.0
0.988,5.01964,0.0,0.65,31.0
0.992,5.0332,0.0,0.65,32.0
0.994,5.05094,0.0,0.65,33.0
0.592,4.99434,0.0,0.65,34.0
0.996,5.07408,0.0,0.65,35.0
0.998,5.10448,0.0,0.65,36.0
0.998,5.10696,0.0,0.65,37.0
0.998,5.13268,0.0,0.65,38.0
0.998,5.15597,0.0,0.65,39.0
0.998,5.18058,0.0,0.65,40.0
0.998,5.65815,0.0,0.65,41.0
0.604,4.98735,0.0,0.65,42.0
0.998,5.83842,0.0,0.65,43.0
0.618,4.99887,0.0,0.65,44.0
0.998,6.11482,0.0,0.65,45.0
0.496,5.00078,0.0,0.7,0.0
0.998,5.13538,0.0,0.7,1.0
0.998,6.18358,0.0,0.7,2.0
0.588,4.99895,0.0,0.7,3.0
0.602,4.98422,0.0,0.7,4.0
0.614,4.97497,0.0,0.7,5.0
0.506,4.98779,0.0,0.7,6.0
0.63,4.97273,0.0,0.7,7.0
0.644,4.97966,0.0,0.7,8.0
0.66,4.98323,0.0,0.7,9.0
0.676,4.97492,0.0,0.7,10.0
0.692,4.99042,0.0,0.7,11.0
0.54,4.97988,0.0,0.7,12.0
0.708,4.99568,0.0,0.7,13.0
0.726,4.99969,0.0,0.7,14.0
0.742,4.98733,0.0,0.7,15.0
0.76,4.98684,0.0,0.7,16.0
0.778,4.98345,0.0,0.7,17.0
0.518,4.98955,0.0,0.7,18.0
0.796,4.98992,0.0,0.7,19.0
0.814,4.98266,0.0,0.7,20.0
0.832,4.98632,0.0,0.7,21.0
0.85,4.97926,0.0,0.7,22.0
